#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
0	NM_014877	chr17	-	67070437	67245203	67078251	67218804	33	67070437,67086828,67107168,67108491,67109115,67114323,67120404,67122969,67123962,67128650,67135969,67137930,67145742,67148568,67149866,67151045,67160260,67160896,67166477,67167462,67178658,67188318,67189588,67190156,67193966,67195418,67201128,67203318,67215898,67218594,67239432,67243783,67245147,	67078586,67087081,67107685,67108726,67109686,67114403,67120612,67123160,67124014,67128855,67136198,67138114,67145890,67148714,67149985,67151224,67160362,67161076,67166608,67167796,67178926,67188616,67189696,67190355,67194042,67195470,67201185,67203443,67215935,67218822,67239489,67243839,67245203,	0	HELZ	cmpl	cmpl	1,0,2,1,0,1,0,1,0,2,1,0,2,0,1,2,2,2,0,2,1,0,0,2,1,0,0,1,0,0,-1,-1,-1,
0	NM_001330447	chr17	-	67070437	67245204	67078251	67218804	33	67070437,67086828,67107168,67108491,67109115,67114323,67120404,67122969,67123962,67128650,67135969,67137930,67145742,67148568,67149866,67151045,67160260,67160896,67166477,67167462,67178658,67188318,67189588,67190156,67193966,67195418,67201128,67203318,67215898,67218594,67239432,67243783,67245147,	67078586,67087081,67107685,67108726,67109686,67114403,67120612,67123160,67124014,67128855,67136198,67138114,67145890,67148714,67149985,67151224,67160365,67161076,67166608,67167796,67178926,67188616,67189696,67190355,67194042,67195470,67201185,67203443,67215935,67218822,67239489,67243839,67245204,	0	HELZ	cmpl	cmpl	1,0,2,1,0,1,0,1,0,2,1,0,2,0,1,2,2,2,0,2,1,0,0,2,1,0,0,1,0,0,-1,-1,-1,
1	NM_031421	chr17	+	41930622	41965650	41930723	41965483	12	41930622,41935216,41935598,41936472,41936761,41938556,41938964,41945135,41949152,41955216,41961381,41964992,	41930837,41935348,41935749,41936534,41936927,41938781,41939172,41945222,41949349,41955317,41961466,41965650,	0	TTC25	cmpl	cmpl	0,0,0,1,0,1,1,2,2,1,0,1,
1	NR_110662	chr17	+	41930622	41965650	41965650	41965650	10	41930622,41935216,41935598,41936472,41936761,41945135,41949152,41955216,41961381,41964992,	41930837,41935348,41935749,41936534,41936927,41945222,41949349,41955317,41961466,41965650,	0	TTC25	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1	NM_058216	chr17	+	58692572	58734342	58692643	58734222	9	58692572,58694930,58696692,58703195,58709858,58720745,58724039,58732483,58734117,	58692788,58695189,58696859,58703329,58709990,58720812,58724100,58732544,58734342,	0	RAD51C	cmpl	cmpl	0,1,2,1,0,0,1,2,0,
1	NM_001094	chr17	-	33013087	34156806	33013964	34156532	10	33013087,33015970,33017604,33021218,33023860,33025925,33028241,33088862,33111916,34155977,	33014066,33016039,33017684,33021310,33024014,33025982,33028392,33088990,33112067,34156806,	0	ASIC2	cmpl	cmpl	0,0,1,2,1,1,0,1,0,0,
1	NR_103872	chr17	+	58692572	58734342	58734342	58734342	8	58692572,58694930,58703195,58709858,58720745,58724039,58732483,58734117,	58692788,58695189,58703329,58709990,58720812,58724100,58732544,58734342,	0	RAD51C	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,
2	NM_001321149	chr17	+	75456463	75500452	75471905	75499334	32	75456463,75471799,75485427,75485870,75486289,75487931,75488758,75489265,75489575,75490233,75490701,75491048,75491302,75491690,75492473,75492928,75493490,75493698,75494626,75494895,75495283,75495543,75495965,75496281,75496729,75497112,75497780,75498174,75498443,75498628,75498911,75499261,	75456751,75471929,75485547,75485998,75486426,75488134,75488910,75489368,75489662,75490350,75490758,75491153,75491467,75491900,75492789,75493102,75493593,75493916,75494808,75495034,75495399,75495643,75496074,75496471,75496807,75497198,75497862,75498323,75498538,75498722,75499082,75500452,	0	TMEM94	cmpl	cmpl	-1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,1,2,1,0,1,0,1,2,0,0,2,0,2,1,2,2,
2	NM_014738	chr17	+	75456463	75500452	75471905	75499334	32	75456463,75471799,75485427,75485870,75486289,75487931,75488758,75489265,75489575,75490233,75490701,75491048,75491302,75491690,75492473,75492928,75493490,75493698,75494626,75494895,75495283,75495543,75495965,75496281,75496729,75497112,75497780,75498174,75498443,75498628,75498911,75499261,	75456751,75471929,75485547,75485998,75486426,75488134,75488910,75489368,75489662,75490350,75490758,75491153,75491455,75491900,75492789,75493102,75493593,75493916,75494808,75495034,75495399,75495643,75496074,75496471,75496807,75497198,75497862,75498323,75498538,75498722,75499082,75500452,	0	TMEM94	cmpl	cmpl	-1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,1,2,1,0,1,0,1,2,0,0,2,0,2,1,2,2,
2	NM_001321148	chr17	+	75476497	75500452	75476689	75499334	31	75476497,75485427,75485870,75486289,75487931,75488758,75489265,75489575,75490233,75490701,75491048,75491302,75491690,75492473,75492928,75493490,75493698,75494626,75494895,75495283,75495543,75495965,75496281,75496729,75497112,75497780,75498174,75498443,75498628,75498911,75499261,	75476743,75485547,75485998,75486426,75488134,75488910,75489368,75489662,75490350,75490758,75491153,75491455,75491900,75492789,75493102,75493593,75493916,75494808,75495034,75495399,75495643,75496074,75496471,75496807,75497198,75497862,75498323,75498538,75498722,75499082,75500452,	0	TMEM94	cmpl	cmpl	0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,1,2,1,0,1,0,1,2,0,0,2,0,2,1,2,2,
