#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
0	NM_015261	chr11	-	134152441	134224532	134152943	134223926	35	134152441,134153139,134153288,134157017,134157927,134158328,134159891,134161780,134167995,134168468,134168916,134176306,134177218,134178633,134178821,134181076,134184636,134184902,134185334,134192688,134194015,134194664,134202815,134203141,134203653,134204045,134204898,134206598,134208863,134209144,134209312,134210269,134216935,134220571,134223862,	134153052,134153200,134153363,134157095,134158067,134158495,134160074,134161891,134168195,134168602,134169054,134176386,134177457,134178741,134178936,134181184,134184752,134185000,134185526,134192909,134194150,134194738,134202905,134203198,134203906,134204171,134204971,134206732,134208951,134209206,134209477,134210454,134217098,134220726,134224532,	0	NCAPD3	cmpl	cmpl	2,1,1,1,2,0,0,0,1,2,2,0,1,1,0,0,1,2,2,0,0,1,1,1,0,0,2,0,2,0,0,1,0,1,0,
1	NM_012194	chr11	+	33542330	33674100	33542454	33668154	20	33542330,33544766,33547763,33551039,33552107,33559748,33561675,33568075,33574701,33583337,33591236,33598819,33606640,33609748,33618532,33645685,33656011,33658749,33660862,33667872,	33544336,33545378,33547879,33551259,33552241,33559911,33561735,33568227,33574873,33583501,33591421,33598947,33606822,33609966,33618662,33646036,33656109,33658898,33661014,33674100,	0	KIAA1549L	cmpl	cmpl	0,1,1,0,1,0,1,1,0,1,0,2,1,0,2,0,0,2,1,0,
1	NM_201648	chr11	-	58708756	58731974	58709765	58724496	6	58708756,58710589,58712759,58715315,58724415,58731834,	58710168,58710761,58712886,58715423,58724511,58731974,	0	GLYAT	cmpl	cmpl	2,1,0,0,0,-1,
1	NM_005838	chr11	-	58710087	58731974	58710585	58724496	5	58710087,58712759,58715315,58724415,58731834,	58710761,58712886,58715423,58724511,58731974,	0	GLYAT	cmpl	cmpl	1,0,0,0,-1,
2	NM_001364	chr11	-	83455012	84923421	83459817	84923118	23	83455012,83462001,83466707,83469200,83471625,83472726,83484128,83532707,83541681,83633210,83786689,83833613,83874419,83930327,83962884,83965323,83980505,84059314,84098922,84163460,84251237,84534569,84923076,	83459924,83462093,83466817,83469373,83471727,83472777,83484228,83532783,83541858,83633325,83786792,83833770,83874488,83930483,83963023,83965468,83980642,84059484,84099047,84163511,84251291,84534731,84923421,	0	DLG2	cmpl	cmpl	1,2,0,1,1,1,0,2,2,1,0,2,2,2,1,0,1,2,0,0,0,0,0,
2	NM_001300983	chr11	-	83455012	84923421	83459817	84923118	23	83455012,83462001,83466707,83469200,83471625,83472726,83483252,83532707,83541681,83633210,83786689,83833613,83874419,83930327,83962884,83965323,83980505,84059314,84098922,84163460,84251237,84534569,84923076,	83459924,83462093,83466817,83469373,83471727,83472777,83483298,83532783,83541858,83633325,83786792,83833770,83874488,83930483,83963023,83965468,83980642,84059484,84099047,84163511,84251291,84534731,84923421,	0	DLG2	cmpl	cmpl	1,2,0,1,1,1,0,2,2,1,0,2,2,2,1,0,1,2,0,0,0,0,0,
2	NM_001142699	chr11	-	83455012	85627270	83459817	85598696	28	83455012,83462001,83466707,83469200,83471625,83472726,83484128,83532707,83541681,83633210,83786689,83833613,83874419,83930327,83962884,83965323,83980505,84059314,84098922,84163460,84251237,84534569,85111660,85154555,85285219,85598656,85626586,85627217,	83459924,83462093,83466817,83469373,83471727,83472777,83484228,83532783,83541858,83633325,83786792,83833770,83874488,83930483,83963023,83965468,83980642,84059484,84099047,84163511,84251291,84534731,85111735,85154651,85285365,85598788,85626753,85627270,	0	DLG2	cmpl	cmpl	1,2,0,1,1,1,0,2,2,1,0,2,2,2,1,0,1,2,0,0,0,0,0,0,1,0,-1,-1,
2	NM_001206769	chr11	-	83455012	84317339	83459817	84317145	22	83455012,83462001,83466707,83469200,83471625,83472726,83484128,83532707,83541681,83633210,83786689,83833613,83874419,83930327,83962884,83965323,83980505,84059314,84098922,84163460,84251237,84316824,	83459924,83462093,83466817,83469373,83471727,83472777,83484228,83532783,83541858,83633325,83786792,83833770,83874488,83930483,83963023,83965468,83980642,84059484,84099047,84163511,84251291,84317339,	0	DLG2	cmpl	cmpl	1,2,0,1,1,1,0,2,2,1,0,2,2,2,1,0,1,2,0,0,0,0,
2	NM_020693	chr11	-	117427771	117797261	117428327	117797259	33	117427771,117430721,117431533,117432351,117433137,117433440,117435643,117437121,117437894,117438884,117439265,117439818,117443885,117450548,117458753,117461449,117464941,117469909,117471868,117480442,117481173,117481962,117503844,117504923,117505453,117516466,117518465,117521129,117524804,117532375,117776790,117780492,117797033,	117428803,117431033,117431728,117432504,117433256,117433471,117435799,117437409,117438083,117438983,117439429,117439936,117444039,117450688,117458909,117461596,117465182,117469980,117472036,117480571,117481270,117482162,117504021,117505043,117505732,117516739,117518762,117521405,117525083,117532522,117776937,117780810,117797261,	0	DSCAML1	cmpl	cmpl	1,1,1,1,2,1,1,1,1,1,2,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,
2	NM_030792	chr11	-	75434639	75525554	75435506	75477735	17	75434639,75436935,75439878,75441162,75441645,75442362,75443135,75444412,75448976,75449516,75449884,75456756,75457692,75462785,75477618,75490236,75525209,	75435655,75437048,75439961,75441310,75441803,75442581,75443286,75444495,75449122,75449610,75449983,75456816,75457786,75462889,75477795,75490320,75525554,	0	GDPD5	cmpl	cmpl	1,2,0,2,0,0,2,0,1,0,0,0,2,0,0,-1,-1,
2	NM_001142700	chr11	-	83455012	84273280	83459817	84273255	20	83455012,83462001,83466707,83469200,83471625,83472726,83483252,83532707,83541681,83633210,83786689,83833613,83874419,83962884,83965323,83980505,84059314,84098922,84163460,84273150,	83459924,83462093,83466817,83469373,83471727,83472777,83483298,83532783,83541858,83633325,83786792,83833770,83874488,83963023,83965468,83980642,84059484,84099047,84163511,84273280,	0	DLG2	cmpl	cmpl	1,2,0,1,1,1,0,2,2,1,0,2,2,1,0,1,2,0,0,0,
9	NM_001144063	chr11	-	3087115	3165352	3088204	3129148	21	3087115,3089845,3090557,3092431,3092866,3093526,3093745,3094236,3100157,3101602,3102182,3103238,3104192,3107262,3107770,3119546,3121996,3122347,3126472,3129012,3165215,	3088343,3089948,3090696,3092558,3093052,3093663,3093835,3094334,3100256,3101699,3102281,3103320,3104377,3107455,3107945,3119631,3122098,3122428,3126555,3129169,3165352,	0	OSBPL5	cmpl	cmpl	2,1,0,2,2,0,0,1,1,0,0,2,0,2,1,0,0,0,1,0,-1,
